Iteration	Y	var_1	var_2	var_3	var_4	var_5	var_6	var_7	var_8
201.0	-2.773188820558612	3.0	3.0	3.0	-3.0	-3.0	3.0	-3.0	-3.0
202.0	-2.766265125878041	3.0	3.0	3.0	-3.0	-0.661785917696219	3.0	-3.0	-1.0658877649331977
203.0	-2.817553389472716	3.0	0.46244573929701893	3.0	-1.0318808160656472	-0.5108698840639228	3.0	-3.0	0.4744448953807503
204.0	-2.7730944251539613	3.0	3.0	3.0	-1.262965645073811	1.2998378527617287	0.7145167480590634	-3.0	3.0
205.0	-2.765317548947344	3.0	0.48812953313852564	1.67384988128924	-0.7247116293778478	-0.3588905131246308	-0.22273910569476824	-3.0	-0.38896728832772326
206.0	-2.2711543259672125	2.970524108465262	2.943121557777417	-1.8950660252201204	0.6065504161128399	1.9794681208459666	0.9159948851320052	-1.2101286443748116	-0.45956732723816834
207.0	-2.76568337676509	3.0	-3.0	3.0	1.088268895662874	-3.0	0.3503905600469424	-3.0	-3.0
208.0	-2.7659006910437527	3.0	1.3992556486507335	2.0397114403032295	0.13601620798379724	0.02420975377370414	0.47762978823862196	-0.35434293993969534	2.139887471820659
209.0	-2.761061474810925	3.0	-0.8349415842699882	3.0	-3.0	-1.64633271853165	3.0	-3.0	-3.0
210.0	-2.632204226784166	2.8834378230943436	-2.5301056213987927	2.346031812518703	1.3360807247971254	-0.10374161566933982	1.2917747781849354	-2.964457942409017	2.0925368618779565
211.0	-0.21609008240627345	2.6816899529044056	-2.8126903249553155	-2.553450339894885	-2.2531867256946714	-2.2385216315343475	-2.6000159766945767	-2.1114460855519797	-2.9453249216444193
212.0	-2.762117066881898	3.0	-2.069417777318921	3.0	3.0	-0.25666261603736773	3.0	-3.0	2.026445650082533
213.0	-2.7595102496604023	3.0	-0.6419295279756602	2.149454606590954	0.16697196258912908	0.9450906425785124	3.0	-3.0	-0.09526554095946477
214.0	-2.747990508330678	3.0	-0.9070636725157035	3.0	3.0	-0.8614697843876784	0.5295596963116206	-3.0	2.2926829673293594
